!CSV A.01.01
!Keysight Technologies,P9382B,MY61100054,A.15.75.22
!Date: Monday, November 28, 2022 15:17:01
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S13(DB),S13(DEG),S14(DB),S14(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG),S23(DB),S23(DEG),S24(DB),S24(DEG),S31(DB),S31(DEG),S32(DB),S32(DEG),S33(DB),S33(DEG),S34(DB),S34(DEG),S41(DB),S41(DEG),S42(DB),S42(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000,-36.782936,-18.35622,-1.777233,-12.339697,-75.616936,-63.567368,-68.96846,-20.972635,-1.7751896,-12.276145,-34.7757,-21.036938,-64.621979,97.889374,-68.335075,65.94104,-62.116375,61.457386,-58.025036,116.18253,-0.026196757,-0.28390428,-74.224091,2.6338706,-77.866043,-91.973419,-62.512058,-77.266624,-68.178711,33.987946,-0.046321366,0.32387874
1311250,-26.906279,-46.391945,-2.0274463,-70.253586,-66.272858,13.535267,-75.49379,10.832027,-2.0169773,-70.299377,-26.831362,-46.296638,-70.527328,141.39403,-60.815109,-69.84137,-67.106888,178.02802,-86.274651,97.645851,-0.029222397,-0.085821889,-73.909721,116.94586,-76.597137,129.14758,-65.76123,-56.08194,-61.850143,111.08913,0.01318027,0.32233343
1622500,-29.760696,-95.990791,-2.2437155,-128.13139,-66.005875,103.58365,-73.63562,-62.564144,-2.2520232,-128.18109,-30.8277,-91.335976,-67.665596,77.148613,-62.166138,128.25114,-80.248344,-74.96312,-63.405323,76.715813,-0.030153386,-0.099609241,-68.328979,168.20691,-60.382362,-151.90965,-69.155563,16.690157,-67.97332,-96.902946,0.014763531,0.33128643
1933750,-43.379128,-23.091087,-2.4678788,174.17482,-71.081337,77.788635,-75.341011,-28.576176,-2.4577239,174.24936,-38.708244,-10.66778,-71.467926,154.49799,-74.627975,-71.839378,-83.177856,159.71834,-73.066269,147.47385,-0.020380137,-0.13166261,-74.693832,-173.14258,-74.320435,-105.45659,-66.36631,-44.30452,-62.034481,-121.77169,0.020205587,0.31950676
2245000,-30.343912,-41.73793,-2.6425829,116.64268,-69.177856,-0.014715556,-74.545372,13.843622,-2.6463606,116.69198,-30.065479,-39.274139,-69.303719,79.513908,-67.101418,158.57274,-68.174835,45.047077,-71.27198,-74.17144,-0.036975607,-0.087454312,-70.538506,64.838516,-66.369942,-69.500954,-70.762802,-138.47894,-72.806946,104.82782,0.018909374,0.28954056
2556250,-31.473938,-91.594833,-2.8343537,59.170715,-69.231331,12.96701,-65.858025,47.352394,-2.8273652,59.224121,-32.943344,-79.236206,-68.218399,92.27005,-78.722908,-99.653023,-80.213264,175.74574,-70.512962,-27.060314,-0.02498907,-0.11947639,-65.052849,-20.829315,-77.749321,-157.68645,-68.319763,-99.63517,-66.777817,55.551365,0.020763639,0.23841
2867500,-44.734684,-81.153748,-3.0053716,1.8223387,-71.159576,139.7933,-74.683556,-41.211349,-2.9986303,1.775618,-39.739342,-27.421516,-74.404533,139.72942,-71.684799,-67.769135,-67.299431,-150.23132,-68.413567,117.62478,-0.027763242,-0.10819071,-80.707176,32.4841,-66.224373,77.051826,-70.195114,96.218002,-62.796566,36.701107,0.030314624,0.093898378
3178750,-34.242065,-41.542469,-3.1500478,-55.541428,-68.130203,151.42844,-64.233894,-11.874894,-3.1488178,-55.566982,-31.619057,-39.846619,-72.02179,-147.64212,-66.656723,-167.44092,-73.443916,33.769855,-62.166206,-157.26959,-0.034521431,-0.08715488,-75.413857,-126.84029,-68.43351,-114.41975,-63.887066,116.32659,-68.283043,-147.74287,0.024978915,0.13688332
3490000,-33.365364,-80.67614,-3.3175035,-112.85332,-73.556458,-104.17612,-71.379768,-38.024868,-3.3122845,-112.81335,-33.192844,-80.940933,-66.409081,45.198246,-62.197815,-173.61736,-64.144478,164.56383,-67.753624,31.74169,-0.039071225,-0.061111212,-64.287674,118.84039,-65.193054,45.11108,-63.400093,76.700089,-62.890053,40.759392,0.029905882,0.15298319
3801250,-42.724964,-83.509621,-3.4636254,-170.09904,-64.970703,165.7357,-69.845291,-82.913849,-3.4485831,-170.05876,-41.019291,-63.123558,-63.570259,3.876909,-72.913864,-101.11687,-65.475632,74.520485,-67.222534,103.77971,-0.024994018,-0.062898956,-61.989849,88.689835,-71.338387,28.609028,-63.558441,130.74283,-63.683777,-172.60268,0.027636271,0.10412104
