!CSV A.01.01
!Keysight Technologies,P9382B,MY61100054,A.15.75.22
!Date: Monday, November 28, 2022 15:17:22
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S13(DB),S13(DEG),S14(DB),S14(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG),S23(DB),S23(DEG),S24(DB),S24(DEG),S31(DB),S31(DEG),S32(DB),S32(DEG),S33(DB),S33(DEG),S34(DB),S34(DEG),S41(DB),S41(DEG),S42(DB),S42(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000,-38.506523,-29.050028,-1.732691,175.31476,-69.92099,15.776902,-66.277,-117.37039,-1.7411354,175.23938,-38.645214,-47.073643,-69.663872,-157.96518,-68.252518,154.33578,-74.712364,-27.408043,-70.752563,13.930581,-0.030791016,-0.27047399,-69.998909,14.675876,-65.258392,-7.8474607,-66.445335,109.60784,-69.566933,-55.772694,-0.043409552,0.29669142
1311250,-27.5075,-40.051815,-1.9937786,119.76204,-67.277031,-125.15652,-62.416584,170.82642,-1.9738424,119.71152,-27.533829,-41.1777,-75.654106,-22.07789,-74.544579,-161.54987,-72.286888,12.970523,-68.585403,116.38673,-0.038264193,-0.11691064,-69.739502,-104.74013,-68.686722,117.76189,-65.91954,125.03696,-65.92572,26.494253,0.010086911,0.35612777
1622500,-28.774536,-87.055573,-2.1908782,64.183777,-72.706375,26.905489,-69.663033,122.95444,-2.2011292,64.258041,-29.067179,-89.404564,-62.895218,-96.112747,-71.090271,163.29135,-92.064713,-69.270126,-67.774384,-30.835085,-0.029332636,-0.1108658,-64.846008,97.903366,-68.196228,-95.566544,-61.55357,141.06824,-76.14872,156.51205,0.015918102,0.33431554
1933750,-43.373398,-87.657127,-2.4143753,8.93433,-68.117897,-73.755112,-78.825104,-25.926407,-2.4113545,8.9599886,-43.286304,-78.029861,-67.130928,-2.0112267,-77.702042,176.68701,-66.267006,-34.903126,-78.368462,-160.53917,-0.033051886,-0.062978335,-66.930862,-6.8676176,-68.772926,-30.714025,-69.812744,-3.8516819,-69.305527,-154.12099,0.018086605,0.2514509
2245000,-31.860247,-31.511656,-2.5947981,-46.236393,-82.932457,-56.276573,-69.836205,-64.776657,-2.5967236,-46.236675,-31.395714,-34.668945,-62.903858,-29.499477,-69.727959,-45.099712,-73.452988,-50.345509,-66.989143,-5.3898358,-0.035810333,-0.055876739,-63.174091,-166.47231,-64.083481,-130.94592,-64.740944,-16.506634,-68.558662,58.858822,0.018460376,0.2520884
2556250,-30.966576,-73.57309,-2.7762427,-101.42303,-65.72596,144.37933,-65.418549,-42.164654,-2.7733004,-101.32234,-30.356882,-77.419006,-72.944611,10.589419,-73.482506,50.997078,-62.152775,-155.59123,-75.503479,2.590307,-0.032374285,-0.10156085,-65.957222,-105.15586,-72.470779,156.66606,-65.62394,-154.85445,-74.085579,3.4499688,0.024593864,0.18127201
2867500,-38.86993,-87.656166,-2.952625,-156.43507,-66.820671,124.58753,-68.630348,167.67444,-2.9488909,-156.41219,-38.368298,-111.07732,-68.81144,-35.746685,-68.398499,-19.797478,-73.10218,-28.954643,-75.832436,-131.005,-0.028260602,-0.091145091,-76.198036,57.440266,-64.721085,101.58525,-70.943382,-107.06084,-74.029366,17.59375,0.03971127,0.13333315
3178750,-34.888359,-37.603657,-3.1029799,148.61072,-68.96788,-132.45464,-68.461563,103.12684,-3.1109736,148.52029,-37.044102,-41.743488,-63.675694,137.06766,-72.638107,25.520321,-67.960312,10.571311,-68.814934,51.204601,-0.031936951,-0.13238205,-71.936371,26.348986,-70.687202,74.549896,-66.472969,105.70441,-66.270142,-159.96504,0.024214443,0.18608864
3490000,-31.901184,-69.606735,-3.256644,93.732361,-73.329994,22.637037,-65.79715,40.72966,-3.2558446,93.670174,-32.979832,-77.078506,-64.82766,-5.386045,-73.963928,-37.840347,-67.818825,-148.53772,-76.636948,178.8902,-0.030447165,-0.039040517,-89.665588,10.06579,-68.239197,66.051834,-74.426201,-26.246046,-66.716408,6.524538,0.032608014,0.11494756
3801250,-37.681793,-102.03308,-3.4123058,38.752548,-67.689735,-27.882067,-78.287781,-12.403152,-3.3949642,38.76342,-37.061302,-112.85345,-64.740913,141.51128,-78.322639,37.803501,-70.576607,-75.814049,-70.561615,-96.35714,-0.031034257,-0.098167874,-66.8377,-133.90077,-73.925827,-83.750168,-67.43251,-62.385536,-66.334312,-19.95822,0.030394826,0.16292375
4112500,-38.545376,-36.245995,-3.5502455,-16.03957,-61.238689,-21.474667,-65.133499,5.4566274,-3.5449641,-16.025312,-41.68491,-56.081543,-74.899559,42.967003,-71.894493,-122.16337,-66.467751,-63.174114,-70.193222,94.182022,-0.024089122,-0.032940172,-69.984169,19.070627,-67.145576,169.37874,-70.426437,91.127991,-74.248085,-177.02931,0.045543835,0.13173045
4423750,-33.550499,-67.905052,-3.6870742,-70.851387,-72.622314,156.86725,-64.733154,-64.379333,-3.6815283,-70.845558,-35.243248,-74.260567,-71.312401,-93.070183,-75.135895,-109.51373,-72.081161,104.14195,-64.515762,-70.705566,-0.024757363,-0.058998916,-65.910744,-20.482485,-70.769714,-25.045906,-68.804482,121.32409,-69.525101,103.439,0.032571532,0.10496564
4735000,-37.014629,-101.68531,-3.8125021,-125.59003,-66.650543,-103.61625,-64.54744,123.6553,-3.8093934,-125.56184,-36.747074,-116.87328,-64.25576,-44.492599,-75.480675,-87.036209,-65.467873,-47.737049,-69.217285,74.495293,-0.018502004,0.017069105,-69.958443,-138.42519,-62.009094,26.22884,-72.11898,-120.28484,-62.902748,-119.71255,0.037516072,0.098191857
