!CSV A.01.01
!Keysight Technologies,P9382B,MY61100054,A.15.75.22
!Date: Monday, November 28, 2022 15:17:15
!Source: Standard

BEGIN CH3_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S13(DB),S13(DEG),S14(DB),S14(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG),S23(DB),S23(DEG),S24(DB),S24(DEG),S31(DB),S31(DEG),S32(DB),S32(DEG),S33(DB),S33(DEG),S34(DB),S34(DEG),S41(DB),S41(DEG),S42(DB),S42(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000,-37.421413,-12.286607,-1.7727629,-7.9423318,-57.355892,-69.185402,-69.984177,92.26683,-1.7874045,-7.9438672,-38.578644,-24.414867,-81.302368,-148.37172,-68.084831,-136.14648,-63.1866,-135.34949,-69.481651,-111.35206,-0.034001436,-0.32032201,-76.450203,98.231812,-64.706352,58.382771,-62.633148,-134.92928,-63.137688,20.184338,-0.044761512,0.33870348
1311250,-27.041737,-40.738708,-2.0335307,-64.478783,-67.534149,-114.64418,-63.98209,121.4539,-2.0282452,-64.452568,-27.151829,-41.419655,-60.000046,97.575485,-70.028992,127.33447,-74.202629,38.651138,-66.916176,23.28207,-0.031568237,-0.16125089,-70.826439,146.94034,-67.819733,139.01891,-69.728668,126.08995,-63.233994,-1.3021767,0.024194879,0.29073435
1622500,-29.033388,-89.84391,-2.2561755,-120.9361,-62.715374,112.71635,-60.770561,24.734346,-2.2541349,-120.95357,-29.618183,-88.984077,-71.90284,-166.35991,-69.309814,-91.312569,-66.601913,166.39745,-70.047745,20.001169,-0.033200566,-0.071297452,-63.864857,68.479057,-60.631123,144.90443,-70.218849,-61.16729,-64.751022,-112.84305,0.0099836057,0.31803286
1933750,-45.331203,-57.666351,-2.4760509,-177.14948,-73.426086,84.678772,-71.095345,-142.61513,-2.4675648,-177.13487,-43.631767,-40.152706,-63.166744,-61.875252,-70.208214,117.82178,-75.613602,156.01009,-68.01786,28.628387,-0.02879815,-0.081442565,-73.441048,-31.281549,-60.563931,14.784389,-69.29451,160.12799,-69.955452,-171.76295,0.015179893,0.26413023
2245000,-31.252043,-32.555805,-2.6652758,126.76131,-72.497559,-155.08087,-75.738022,-157.85803,-2.6736157,126.81637,-31.067804,-33.334827,-75.511215,94.334732,-69.675919,-50.670109,-67.1287,-74.659485,-73.421555,-70.309052,-0.036263198,-0.13998196,-66.216118,54.898918,-77.167068,-98.800278,-77.910248,95.055031,-68.791092,158.27905,0.021553446,0.25557056
2556250,-30.940844,-80.768295,-2.844089,70.630653,-69.128746,156.16827,-68.048775,-90.530487,-2.83125,70.640106,-31.7349,-78.290245,-74.357368,-39.595039,-78.00415,-31.334665,-72.14341,-112.26701,-67.802361,-52.817001,-0.025877226,-0.053239629,-68.211914,-170.72543,-77.742249,-51.630611,-71.488197,-175.41125,-66.703918,-10.602385,0.023699572,0.21066993
2867500,-42.203289,-92.374451,-3.0217838,14.668253,-63.238682,171.28221,-64.15976,-166.31061,-3.0152655,14.592057,-44.642464,-71.65136,-65.85614,52.450661,-64.237022,-104.66486,-73.102493,92.817108,-73.283333,-95.055428,-0.030604357,-0.095400624,-68.40519,155.65314,-65.49453,-163.71648,-67.489273,52.099598,-68.209602,14.028967,0.03335765,0.14254646
3178750,-34.660679,-30.847019,-3.1817412,-41.391788,-75.840508,-145.21495,-70.201515,-27.638514,-3.1785259,-41.414467,-34.167828,-30.633331,-67.022957,-176.72144,-66.318176,-141.49435,-68.223663,-64.913002,-66.310661,80.927231,-0.033314556,-0.10830927,-70.004326,-93.824974,-71.517296,107.06492,-65.349815,-39.107269,-72.228882,-100.55563,0.027979901,0.15475598
3490000,-32.250828,-65.729202,-3.3450048,-97.183563,-67.589142,-95.421333,-68.673347,164.92319,-3.3325951,-97.125092,-32.712601,-70.36129,-68.316223,-75.670853,-82.778168,-58.695667,-67.442017,39.062237,-64.875015,-52.613377,-0.032957464,-0.013807867,-69.014061,73.795174,-69.747993,111.01163,-69.026947,-167.08542,-86.75914,-90.070175,0.02465461,0.081211932
3801250,-38.912174,-84.903656,-3.490335,-153.05817,-78.727615,-124.47575,-75.56234,0.20728287,-3.476368,-152.96854,-39.227325,-96.154396,-79.40731,-160.44102,-64.277115,22.26351,-85.066666,35.792294,-67.396797,32.716713,-0.025548346,-0.092003971,-67.016724,-27.576994,-78.262405,8.4169664,-63.436794,164.09906,-68.815567,86.671707,0.026149299,0.11959555
