!CSV A.01.01
!Keysight Technologies,P9382B,MY61100054,A.15.75.22
!Date: Monday, November 28, 2022 15:17:09
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S13(DB),S13(DEG),S14(DB),S14(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG),S23(DB),S23(DEG),S24(DB),S24(DEG),S31(DB),S31(DEG),S32(DB),S32(DEG),S33(DB),S33(DEG),S34(DB),S34(DEG),S41(DB),S41(DEG),S42(DB),S42(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000,-38.492348,-21.35549,-1.6947016,177.98485,-69.610916,-175.29764,-63.609356,24.461912,-1.6938289,177.97763,-39.439796,-47.596233,-64.28125,-137.54904,-60.885342,-147.19917,-72.862793,37.553444,-66.351471,-10.424258,-0.030798316,-0.27231121,-62.87254,70.598358,-67.937584,-8.5567341,-63.772243,-159.78246,-68.791405,-148.51088,-0.05361665,0.37741533
1311250,-26.483063,-23.942394,-1.9420335,123.25316,-72.682159,117.48003,-66.244102,1.3118622,-1.9261739,123.25261,-26.67996,-25.025564,-70.732033,-27.826183,-68.082176,-117.9509,-67.944252,178.47697,-73.740685,-56.622841,-0.034098491,-0.10735326,-66.614189,-33.194267,-72.017326,-11.232048,-67.11087,-175.80298,-75.164322,-73.632675,0.017221397,0.30392224
1622500,-27.329931,-68.147507,-2.1295671,68.445328,-71.358719,-77.046417,-68.30481,116.63324,-2.1365454,68.550308,-27.463507,-69.50235,-69.79705,4.2940922,-82.465065,-156.00775,-73.501259,52.876686,-60.585274,7.9588881,-0.031920262,-0.073167019,-74.551941,-0.097562425,-61.98053,118.61678,-81.254364,123.37505,-67.215553,23.913963,0.015132429,0.31650624
1933750,-39.291759,-74.850822,-2.3387682,13.957444,-64.940865,-113.22827,-70.460419,-90.071877,-2.3309968,13.996626,-39.3162,-76.174911,-65.102013,122.70222,-65.319733,-116.25023,-85.922363,133.54358,-78.748428,-149.20596,-0.028372118,-0.10330676,-63.829197,93.019249,-64.491821,22.330301,-63.459564,-0.39612806,-80.776878,-136.48683,0.024714325,0.21910128
2245000,-31.263454,-13.512088,-2.5278676,-40.502243,-65.180801,130.38924,-86.119698,87.23864,-2.5365934,-40.453362,-30.689114,-17.746759,-74.587967,-107.6311,-70.689995,40.178417,-75.116714,42.376499,-77.945892,-49.655495,-0.035455383,-0.13994579,-69.587997,-52.362888,-63.165855,151.19859,-62.102306,21.683157,-69.205765,20.047674,0.02283445,0.25859797
2556250,-29.402773,-51.408997,-2.7069995,-94.802628,-73.959091,53.944149,-64.820709,45.442074,-2.7006779,-94.79203,-28.949226,-58.819,-61.241661,110.75794,-65.689819,-81.490044,-83.803787,32.359283,-67.414711,146.72696,-0.029399874,-0.1213098,-68.974205,31.68252,-69.534622,40.246635,-64.39328,113.67223,-62.184357,-63.948452,0.021496262,0.19206876
2867500,-36.523727,-65.916695,-2.8711236,-149.07976,-75.361938,117.27377,-68.270126,-25.624098,-2.8587327,-149.15053,-35.962273,-95.321411,-62.415192,50.841686,-64.180733,78.402565,-67.536331,171.94777,-63.747509,-111.06948,-0.034457505,-0.082810864,-71.450737,-94.687706,-63.857918,-112.77745,-62.103279,122.15562,-68.027092,-148.06685,0.036546405,0.12108756
3178750,-33.648384,-11.51962,-3.0275893,156.69997,-63.754467,-8.5911598,-68.690598,149.73721,-3.0267053,156.66458,-37.718967,-7.6437774,-63.283779,28.153421,-67.907646,-123.2812,-65.502579,85.565964,-68.831375,-65.773865,-0.044394061,-0.096725613,-69.036659,9.4768419,-71.481911,-108.58965,-71.801476,37.460804,-68.206093,127.60928,0.026366973,0.13590215
3490000,-29.862692,-39.791061,-3.1663032,102.48679,-72.945251,114.76131,-73.376526,6.4945312,-3.1646602,102.54751,-31.589397,-42.260941,-66.358711,-60.386017,-74.916962,-101.11213,-71.867119,-42.279213,-65.122452,-83.081764,-0.035938747,-0.09758205,-62.673,97.839279,-69.910545,-9.9952478,-64.178787,-45.811153,-74.70845,-163.80544,0.036106929,0.13387254
3801250,-33.86507,-68.323448,-3.312315,48.352222,-66.541901,-59.318348,-62.095474,140.56848,-3.3012795,48.401608,-34.488411,-81.440231,-71.073669,-74.71936,-63.88232,-136.61777,-75.139229,-68.76017,-65.059036,-46.570759,-0.025095295,-0.076432638,-66.008606,31.11434,-74.299744,112.39184,-67.589783,88.033981,-65.661461,112.64269,0.029821558,0.18973464
