!CSV A.01.01
!Keysight Technologies,P9382B,MY61100054,A.15.75.22
!Date: Monday, November 28, 2022 14:46:15
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S13(DB),S13(DEG),S14(DB),S14(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG),S23(DB),S23(DEG),S24(DB),S24(DEG),S31(DB),S31(DEG),S32(DB),S32(DEG),S33(DB),S33(DEG),S34(DB),S34(DEG),S41(DB),S41(DEG),S42(DB),S42(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000,-44.793934,-47.628983,-63.992432,-110.06697,-65.591057,-141.25693,-71.501236,23.862928,-69.012032,32.412899,-47.640602,-117.58373,-66.467476,-131.54333,-69.083611,-90.115623,-82.26136,-63.119179,-77.179771,-61.175743,-64.537422,109.17337,-64.524155,-112.27127,-65.636665,-150.37897,-71.053452,111.01335,-61.425442,-106.47871,-40.446289,-115.12396
1311250,-25.277975,-40.180721,-69.362267,-108.91383,-77.923538,-61.771042,-78.239761,-177.21317,-64.351463,93.573624,-25.230463,-16.533806,-65.807983,141.26015,-69.341164,-133.42549,-66.598106,98.888153,-73.698891,89.071716,-25.863075,-30.89753,-70.77755,-173.00885,-67.44278,-74.017517,-69.78936,-42.915474,-71.317841,-158.38895,-25.677898,-34.697277
1622500,-26.681923,-82.808968,-69.562981,-149.57423,-68.495049,2.9358435,-65.029861,62.090717,-74.037117,-138.013,-24.164724,-61.449425,-76.790276,155.51279,-78.306526,-76.773361,-69.131889,169.05942,-77.047791,-88.010178,-26.205803,-78.015312,-67.815773,26.290031,-69.740379,41.966301,-65.641518,-24.608986,-72.683968,71.034019,-24.960297,-76.842171
1933750,-49.606773,-54.12114,-71.442146,84.70816,-68.829964,-37.14436,-67.50901,-152.00177,-66.249428,-12.057851,-34.754452,-102.55051,-67.260216,-153.51593,-93.444733,-174.80888,-75.781517,54.886147,-70.728432,-167.42487,-42.98259,-122.49155,-67.790459,-85.296898,-72.908875,149.33664,-71.578575,-69.954704,-75.84597,82.537949,-35.67664,-118.74518
2245000,-29.520418,-24.54542,-80.65419,-122.27648,-68.774574,54.54734,-66.480576,-86.987511,-70.56852,165.27306,-30.96726,0.44344926,-82.7911,-152.41405,-65.419403,32.458332,-67.858917,-92.196281,-68.222099,36.836185,-30.891991,-16.626312,-72.67765,-87.471786,-69.71859,23.333727,-65.406326,30.277342,-72.716522,149.08217,-31.753323,-18.559132
2556250,-29.86385,-73.527367,-69.75985,56.56958,-67.338081,19.489944,-64.452171,84.236191,-63.239285,-88.238716,-26.833015,-46.232376,-65.553467,40.658237,-68.035454,-37.494915,-69.973747,150.3215,-65.883224,-172.44994,-29.353241,-67.56321,-82.352242,-147.26965,-71.092232,24.960323,-68.480469,-96.934631,-73.798203,-109.69162,-27.927752,-64.019287
2867500,-43.732838,-83.174278,-68.100067,179.98589,-67.315704,98.627472,-72.114067,-95.324944,-72.785072,19.023809,-31.754829,-100.18994,-65.619766,92.846634,-74.062881,10.491552,-70.216194,-32.265717,-64.505409,-28.174183,-38.025162,-117.52623,-74.532509,-176.37856,-78.011772,9.0918388,-67.547867,159.79367,-67.924385,13.915207,-32.384666,-114.67055
3178750,-32.47588,-24.093103,-65.213371,-18.703712,-68.669952,-141.6601,-68.545547,64.119751,-69.208641,-164.12418,-40.666286,29.154202,-66.468582,-94.668167,-74.507454,130.19658,-76.301208,6.6121283,-69.11869,22.9445,-35.496788,-8.5861149,-74.814064,139.96121,-68.754524,-156.11244,-66.428856,100.31422,-67.518295,152.37404,-42.661148,-24.257868
3490000,-30.686544,-71.115158,-64.422134,-123.11457,-68.129478,166.04704,-69.336548,171.95818,-65.683197,-177.81718,-29.772539,-24.643778,-68.403313,-94.759071,-66.325821,-133.63914,-67.018623,-99.98864,-67.750923,-100.23029,-30.679804,-58.941105,-70.095207,-4.4177742,-67.610168,0.94045472,-73.692436,-147.1815,-66.497955,-12.510928,-31.434711,-55.414173
3801250,-39.589565,-114.7448,-69.853897,-44.624931,-72.107384,-60.373962,-68.694908,143.98402,-67.747139,108.76213,-31.432745,-78.84391,-79.294998,97.642281,-67.09758,-144.14192,-64.284088,90.733536,-73.362419,-87.638824,-35.233051,-114.38828,-74.110458,34.775455,-78.896912,-64.44709,-61.155689,-163.1115,-71.072899,172.69122,-32.782368,-107.14075
4112500,-37.150368,-25.185633,-81.823128,-104.06001,-74.985985,107.70518,-67.514771,-92.226318,-70.492752,-166.58238,-49.148251,-151.64186,-67.955002,148.8403,-68.968353,-122.66759,-69.907341,106.1813,-69.336105,45.081963,-49.784687,-8.9949055,-81.717941,-151.53456,-62.47916,-131.03857,-79.273895,-64.674614,-69.604073,142.26007,-47.000347,-137.45776
4423750,-32.478836,-69.937675,-70.762131,-128.40274,-91.891563,-61.325607,-61.891666,-150.13535,-71.389442,-128.28136,-34.042713,-5.8342595,-71.453941,-160.13486,-65.177948,167.63322,-72.243607,85.800362,-71.851753,151.37737,-34.433247,-50.321899,-65.732193,48.481041,-74.80777,55.202293,-65.005867,-136.25485,-69.656097,-71.630508,-35.41235,-50.511585
4735000,-37.719433,-110.30995,-72.519852,10.911036,-73.724754,123.83703,-70.621567,82.523155,-81.944298,117.8521,-32.383781,-62.82811,-67.607712,177.48074,-78.668182,104.63454,-79.851456,-130.47873,-70.594391,-127.73731,-36.161522,-95.81131,-83.800568,-145.94002,-72.646988,-48.524624,-66.740227,14.617874,-70.730354,-19.230762,-32.999611,-99.720917
5046250,-42.929871,-26.158449,-71.888618,-26.736433,-65.669868,-140.65285,-70.282135,-131.31932,-66.061226,-130.12048,-40.947979,-150.16077,-66.9795,-138.05586,-79.276009,92.549454,-76.089455,-178.24489,-65.539452,-143.48906,-50.60326,-55.613483,-68.632103,148.76987,-67.425293,25.477757,-69.625565,-151.7021,-65.873917,59.73167,-38.952129,-162.06526
5357500,-35.724377,-68.254402,-66.464088,-10.834797,-66.354179,119.28156,-65.40918,-153.4375,-84.167633,65.640953,-36.564888,46.710621,-66.725868,26.461254,-66.644981,16.077732,-67.859062,-148.36028,-73.934692,119.57388,-36.484138,-52.526295,-73.695274,-22.454632,-65.557594,-167.78609,-69.13195,-115.54726,-87.228561,75.724602,-46.300896,-3.6961372
5668750,-40.878345,-128.88478,-61.36927,50.136147,-71.537346,-29.583479,-68.104469,-105.85717,-73.913025,-13.795588,-33.910694,-19.689579,-71.967407,140.7708,-67.067307,-177.37025,-62.634335,-90.993378,-79.840141,51.108749,-36.399872,-108.22111,-64.912231,-176.89885,-61.144981,-113.79182,-73.395325,-107.72493,-67.013329,-165.36581,-39.398384,-81.363861
5980000,-41.446766,17.327644,-81.520744,-57.949162,-66.227097,-158.17493,-69.476158,-127.15215,-71.257301,9.0911446,-42.660137,-73.144699,-75.997864,112.84618,-68.837967,131.08688,-72.490776,-161.59532,-65.36042,19.188278,-47.784138,179.97102,-63.809692,130.01776,-64.618515,97.453293,-81.901077,-8.3655128,-73.360641,126.60507,-45.358589,-162.04475
6291250,-34.453728,-40.743664,-74.797928,69.036781,-65.01149,-170.26944,-62.714417,117.33676,-86.303894,-66.00428,-37.727802,48.861992,-69.485191,-75.197166,-75.93766,132.51857,-70.491714,79.213226,-68.486145,-178.19405,-41.283348,-29.720346,-66.223633,118.73881,-66.565163,-116.92343,-72.864044,111.58949,-70.804214,-14.391118,-40.995415,18.078775
6602500,-36.167164,-92.382271,-66.639397,-93.221199,-68.313889,-62.614155,-84.089996,40.783485,-89.248451,-136.34961,-32.19516,-2.6747792,-62.68959,-48.112404,-68.208488,179.28682,-70.982811,-85.17263,-77.067635,162.93608,-37.90517,-100.48784,-66.585144,63.593502,-66.361664,130.60214,-67.565964,79.710457,-76.441582,85.537888,-35.901562,-55.733513
6913750,-45.643841,-97.228249,-70.325951,70.984009,-63.561768,122.1906,-65.128052,64.158691,-67.850945,170.18037,-35.804779,-54.355099,-65.214615,-175.7605,-66.514549,-139.85538,-72.498833,-159.69173,-72.865479,97.323853,-41.769615,173.26645,-75.182526,166.85217,-76.233665,76.781166,-84.636421,-130.44107,-65.017326,-155.18466,-38.020824,-126.49729
7225000,-39.23555,-62.387039,-68.037994,34.342815,-72.384369,156.48105,-79.242485,171.98198,-70.313324,161.44574,-44.519901,81.975075,-72.791222,132.83035,-70.154625,75.207329,-70.457382,5.5807209,-70.151695,-142.27568,-40.420658,31.589403,-64.903503,-152.72102,-69.589348,-56.179256,-73.583397,-120.07713,-70.024147,83.530411,-42.975552,102.54496
7536250,-39.474907,-108.83168,-72.247643,19.692762,-66.296593,-56.784103,-85.562561,-136.24515,-85.167953,-72.994919,-31.912031,30.137579,-67.993103,51.967445,-65.440689,117.80856,-70.110138,-77.85321,-63.187431,16.125029,-38.011505,-45.373672,-62.50893,-13.369475,-74.626305,-73.924599,-81.818054,-79.296928,-68.875679,172.9156,-36.855606,4.328876
7847500,-59.854095,-178.93277,-67.607681,18.263889,-69.019073,-55.622932,-70.425209,31.433418,-70.739731,40.255093,-30.856815,-14.034703,-69.14283,-57.364922,-66.549683,-62.508049,-76.301529,65.823303,-61.993973,89.564964,-44.638508,-105.71838,-71.099182,-71.852386,-67.696358,-116.59692,-72.565315,-91.786407,-69.074547,38.710472,-37.752609,-51.04372
8158750,-42.209991,-26.339659,-72.08709,-49.203575,-71.303268,40.96822,-68.364067,99.711708,-65.801689,172.54543,-35.516747,-41.631687,-64.172287,-94.545235,-76.443176,55.468731,-69.748497,-38.349354,-70.103462,-55.823868,-48.361958,18.53743,-75.363312,154.14296,-69.918335,130.93114,-68.683578,141.18076,-72.246384,179.73877,-43.71685,-72.328659
8470000,-41.769836,-95.658089,-68.37381,-147.51884,-69.282478,-160.64807,-84.300011,142.74135,-66.489891,-40.440102,-38.249828,-20.207136,-72.422966,-157.78879,-69.685951,-88.269028,-67.756294,-80.335976,-71.640038,-56.543079,-39.992882,-50.784317,-80.901329,-139.81973,-68.370491,22.894823,-76.920242,14.657435,-62.588741,-96.349083,-41.477615,-45.815418
8781250,-48.237057,150.27457,-68.457649,93.041634,-70.451569,59.047855,-74.444382,-36.800129,-65.023354,-101.87251,-36.31282,-31.814697,-66.767227,-84.804482,-72.656197,28.676495,-73.546997,76.391403,-75.896378,23.386639,-42.86533,-121.83962,-66.635132,-44.054047,-69.395576,-25.692974,-65.700806,-106.60209,-72.185005,67.29583,-38.77668,-86.338783
9092500,-42.991783,15.84773,-74.335152,92.092041,-81.696381,-54.49366,-68.481651,115.65603,-82.50177,106.09708,-44.266148,-46.393143,-72.164207,27.619677,-69.618393,58.267315,-62.781139,-163.98259,-88.791275,19.652712,-47.620182,83.819305,-71.657921,-92.861542,-64.913513,-161.02173,-69.247833,14.851808,-76.554054,-152.61194,-44.395966,-144.9989
9403750,-43.785374,-39.592335,-65.370583,-150.86841,-67.538162,168.8539,-64.787125,107.17502,-65.591934,-74.173233,-38.461929,35.015079,-65.43103,-128.36801,-70.567841,86.32489,-65.091164,-133.71829,-68.527985,-113.24767,-40.719418,-9.5601101,-71.175713,-56.467697,-79.453278,82.308632,-76.595131,61.923077,-65.991043,41.36639,-47.273766,36.982769
9715000,-47.26741,24.436979,-75.076782,-4.7583623,-70.337204,33.869457,-70.355988,-167.95619,-64.723114,-20.895676,-32.970364,0.97505617,-65.593681,-169.31313,-64.304619,-28.505987,-70.700714,175.24001,-66.820358,-142.6619,-41.187305,-71.312042,-63.049969,166.26904,-72.098297,-65.304718,-72.38208,-58.147415,-71.235413,-43.963928,-39.964531,-32.793617
10026250,-37.788467,-1.9269115,-73.511383,45.262798,-67.734329,40.715061,-72.959023,148.46249,-70.380066,-15.877439,-34.915291,-32.117054,-63.152214,121.21461,-67.10363,-67.800827,-72.539261,30.648132,-64.267845,147.35271,-57.930405,-73.811638,-73.4813,-115.81231,-71.414162,-74.85965,-80.558647,-6.2004509,-72.20047,-100.16103,-43.752823,-66.919807
10337500,-36.466103,-50.143658,-69.434769,30.409908,-68.214958,-142.16367,-66.173485,33.89957,-70.310684,-50.798161,-42.133038,-6.1249981,-67.501663,144.8662,-70.235031,160.45621,-65.153198,61.227238,-71.30291,138.35808,-42.907032,-28.268751,-83.964195,-128.76648,-69.05349,95.246498,-67.604988,21.441338,-73.756241,-147.02176,-47.16658,-17.546263
10648750,-41.931499,-89.664719,-75.510605,-66.552193,-73.587921,36.041172,-67.750778,60.965038,-75.108932,130.86154,-34.806084,11.200788,-60.920311,54.608292,-70.94368,135.51822,-67.422287,-93.324509,-62.417713,91.383179,-40.154186,-77.592949,-64.657341,150.34462,-67.296799,-54.686981,-68.334167,36.693851,-66.145958,59.720894,-38.692833,-38.913422
10960000,-46.825687,-32.490261,-70.45665,-96.678108,-71.915642,56.502357,-68.203903,-88.645935,-67.551704,72.609764,-33.021297,-23.327684,-112.30583,51.14201,-72.754189,94.973816,-70.761856,9.9425945,-64.839035,83.444588,-45.981483,-143.23529,-74.241508,102.05502,-75.490463,-78.052719,-62.242596,46.935246,-73.568512,61.82822,-38.097767,-75.460037
