!CSV A.01.01
!Keysight Technologies,P9382B,MY61100054,A.15.75.22
!Date: Monday, November 28, 2022 14:46:38
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S13(DB),S13(DEG),S14(DB),S14(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG),S23(DB),S23(DEG),S24(DB),S24(DEG),S31(DB),S31(DEG),S32(DB),S32(DEG),S33(DB),S33(DEG),S34(DB),S34(DEG),S41(DB),S41(DEG),S42(DB),S42(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000,-42.234997,-30.47233,-65.054489,-84.175026,-70.859612,-126.60125,-65.060524,-104.41707,-71.827232,-41.015106,-43.46265,-115.48798,-68.274918,-155.05766,-63.808968,-168.27307,-65.587952,129.5471,-69.283882,-45.193886,-52.727318,-71.792999,-77.224762,-171.55978,-68.754562,142.44324,-70.671768,-157.97563,-65.913071,10.339028,-40.264492,-110.01955
1311250,-26.870361,-36.129326,-65.080742,162.2193,-75.706894,80.255882,-65.220131,44.840805,-80.88652,78.571838,-26.497385,-11.431916,-70.862373,-108.61127,-68.719566,160.64259,-63.379028,44.891151,-73.587074,-174.40251,-27.075308,-30.075947,-75.986526,47.300659,-67.046989,87.07914,-66.752228,85.080582,-65.710724,-102.06561,-27.1735,-27.758381
1622500,-28.331106,-88.666763,-72.135895,-3.8217709,-67.631058,-17.03693,-74.781342,-121.76779,-72.386284,-14.417356,-25.463192,-63.226017,-66.954742,37.767384,-65.166954,35.127632,-66.178658,155.21077,-76.84182,111.42993,-27.517023,-82.795013,-68.780632,-145.81081,-65.07016,-84.689728,-67.100052,45.538654,-72.197014,-90.173141,-26.427658,-79.122665
1933750,-51.693275,-72.370262,-70.801308,-11.161914,-69.276512,46.261116,-67.383217,56.594109,-73.045021,32.982609,-34.747261,-108.59752,-66.305634,164.36209,-77.887444,34.474808,-71.652618,-167.07843,-66.63102,46.273052,-41.502838,-128.57855,-64.754005,-170.05856,-66.761162,40.644123,-71.662636,-131.36865,-72.524864,-165.83389,-36.004047,-122.75736
2245000,-30.079525,-27.25605,-94.306335,155.85149,-67.324005,-49.353561,-70.889046,76.071251,-73.8592,126.72239,-32.004982,-0.25231728,-68.259193,-152.0385,-72.982353,-128.21165,-73.632362,-70.742264,-74.354362,-128.48,-31.526842,-20.629679,-71.122986,-106.41873,-62.832584,-26.143677,-71.46347,26.142523,-69.637024,-177.50464,-32.779762,-19.640873
2556250,-30.088846,-76.940979,-67.50502,151.08385,-68.690422,111.1811,-72.571297,-78.481949,-68.432518,55.563107,-27.232599,-49.978436,-70.530792,-99.782845,-65.89666,-60.094196,-85.29789,-98.643143,-79.439911,67.815826,-29.37314,-75.23317,-70.266685,107.7911,-63.168999,-156.69475,-70.277679,12.523899,-65.075912,49.380573,-28.237856,-67.658119
2867500,-43.587658,-93.45163,-69.70047,-139.67667,-72.545593,8.482152,-71.137199,39.278019,-74.252983,27.273092,-31.741879,-105.419,-62.367542,102.89475,-74.442307,-162.72426,-66.951157,-147.70271,-66.679558,62.259354,-37.414425,-122.3772,-70.406136,-165.59911,-63.951935,145.88536,-67.891342,-107.20296,-73.612175,94.572479,-32.276073,-116.25191
3178750,-32.420155,-26.462006,-69.677399,-165.89265,-70.846924,-103.24366,-73.265411,17.667168,-67.390289,117.41262,-42.287605,30.482195,-65.135277,-10.955687,-69.017982,-23.795599,-60.4077,44.289993,-69.450859,-108.78596,-36.76313,-16.398064,-67.417648,51.699497,-70.653366,173.19678,-70.021042,-35.96357,-71.954796,91.295349,-44.037514,-31.92164
3490000,-30.729509,-73.290527,-71.757698,-155.08302,-65.68969,112.60246,-73.456467,60.002613,-75.880455,139.57977,-30.227697,-28.922167,-64.235992,-114.31197,-71.802284,159.58118,-76.996429,71.080528,-71.82785,54.601326,-30.77972,-63.821411,-70.911064,-155.3568,-67.586121,-118.53442,-65.377266,-128.67346,-72.736465,137.27924,-31.714497,-59.894238
3801250,-39.841969,-114.06632,-77.720085,-84.859566,-62.550167,58.244213,-67.545631,-162.86668,-62.966648,4.9779072,-31.225319,-84.607262,-67.115318,-143.87599,-71.866608,-1.7853732,-69.606636,78.194054,-66.387741,55.935093,-34.239578,-115.97895,-71.922523,-77.72979,-75.402725,-55.689186,-66.577339,40.528801,-69.635475,4.8012052,-32.283386,-109.93318
4112500,-37.25275,-22.874126,-72.38279,106.71911,-67.480293,151.34694,-75.042725,-70.53804,-76.532585,-54.396065,-46.938877,-156.15714,-77.951942,39.275417,-76.965073,135.71152,-66.75193,-69.076591,-69.032944,51.079712,-48.873043,-16.912998,-73.635078,-54.199558,-70.813576,-148.54688,-68.91098,-43.407665,-63.592606,1.7128468,-45.279915,-149.44762
4423750,-32.320583,-67.830055,-66.733063,-91.358955,-60.914139,70.607635,-68.687103,-83.136757,-68.929306,-178.69524,-34.75074,-5.2540469,-68.051765,108.23877,-66.759674,-152.68477,-81.982132,-173.17973,-70.219879,-144.52063,-34.904461,-48.657932,-69.274773,-133.88936,-67.41507,-107.35361,-72.6922,-107.17387,-69.313507,137.48389,-35.924812,-53.56498
4735000,-37.889603,-117.58154,-76.589134,136.38632,-71.505638,120.27507,-69.734703,88.971329,-77.404556,152.62143,-32.637257,-68.800232,-66.039131,147.46141,-78.835289,-62.121799,-66.03965,-108.46992,-72.569855,160.98154,-35.663265,-103.03118,-69.836754,55.830132,-78.803307,-109.30602,-72.04998,-97.155426,-76.914253,119.15629,-33.204174,-102.66872
5046250,-43.336533,-28.89654,-66.541763,92.29715,-76.245239,15.537424,-77.122253,152.61555,-62.202492,125.85087,-39.504959,-150.24014,-63.346252,106.99235,-68.154121,105.39609,-72.546638,9.8105631,-67.635147,119.12885,-49.546276,-83.791847,-62.796963,-40.447987,-74.008728,-140.51488,-64.380592,91.221077,-65.791336,32.509315,-38.331032,-164.84335
5357500,-35.577862,-68.28717,-66.496872,79.066055,-74.98877,-171.50024,-66.927406,117.8837,-63.595955,-127.36845,-36.654011,48.360107,-74.5979,-34.303089,-72.151367,-141.99501,-67.409576,2.5610814,-61.832684,68.325912,-36.876411,-55.900078,-67.168327,-104.12586,-71.06311,44.337868,-63.471657,-109.43525,-69.142952,-95.43042,-48.352875,-6.1794062
5668750,-39.808422,-128.2294,-74.791512,-25.377672,-69.733269,49.543709,-70.427185,113.77901,-81.301064,175.61328,-34.142788,-24.081455,-75.552811,125.17606,-73.50705,-25.398685,-73.984573,-69.880684,-67.705437,7.2042737,-35.69313,-113.01491,-72.834274,103.3196,-66.84008,-138.46751,-64.761841,38.989044,-69.688339,145.97188,-38.888992,-88.911324
5980000,-43.072289,21.185122,-68.759094,-133.54562,-68.770264,-11.400324,-73.114502,126.61365,-83.684494,-103.66296,-42.573818,-84.683601,-69.811584,113.7863,-70.750488,55.889935,-68.861259,163.59119,-69.730156,-66.641449,-46.071701,-164.55998,-67.682922,36.888626,-62.576927,-70.338081,-78.205055,16.140276,-68.55101,50.450794,-44.477844,-169.64688
6291250,-34.54678,-42.985893,-76.832359,163.03328,-72.46479,150.19931,-63.8535,2.8953872,-69.273216,116.10664,-38.692253,53.61108,-62.101742,175.07059,-67.775612,-136.52466,-77.534882,-141.44681,-81.695442,26.553759,-40.788677,-42.794861,-69.19191,124.59409,-61.468395,40.713451,-73.158112,176.57079,-74.183449,136.98491,-41.742958,18.731342
6602500,-36.499306,-93.920364,-64.242744,-69.873512,-66.581841,153.02768,-66.837708,-168.96971,-78.954346,147.46088,-32.678234,-2.7511725,-69.222954,-76.704391,-66.237816,67.471512,-81.049393,166.5656,-85.180687,142.75682,-37.043762,-100.78318,-66.294525,71.62764,-65.523537,-10.09552,-69.497169,-62.011372,-72.388206,62.344479,-36.361679,-58.381813
6913750,-46.132362,-92.27108,-62.244331,-42.267567,-69.961906,138.45303,-66.81813,-40.852001,-63.581654,-98.445724,-36.435352,-62.781971,-72.526169,-164.93118,-72.269997,-136.8349,-75.447021,163.43462,-70.197777,177.1024,-41.419285,172.97488,-66.124374,90.901489,-78.652351,-98.987846,-80.893806,19.341074,-73.072762,-138.43469,-37.747108,-132.60454
7225000,-39.433125,-65.464447,-75.716614,104.58344,-70.470345,106.95812,-66.288467,36.930542,-67.693764,133.93311,-45.347637,106.40598,-75.598862,112.30291,-77.016594,128.39107,-72.090118,-20.798897,-69.786652,-171.64978,-41.919914,36.628166,-70.11454,-124.33995,-71.610558,-116.00657,-72.792046,-108.81083,-65.283188,85.744179,-42.730003,120.71223
7536250,-39.903545,-114.86823,-69.936211,65.390869,-65.477608,67.106873,-68.256233,75.160912,-74.755768,-10.809149,-32.520817,31.307056,-62.789284,141.98666,-70.940384,-101.63085,-77.141037,168.48143,-90.61972,-13.241075,-39.20182,-55.002651,-71.985672,154.95076,-69.024956,56.387226,-74.226082,-106.83661,-65.854034,-49.184872,-37.815823,3.4806335
7847500,-53.900345,157.16751,-72.65657,-37.496365,-70.950371,-124.63541,-69.65995,-19.720768,-72.14357,157.91808,-31.271803,-14.958611,-65.157425,-12.062616,-72.233154,-110.94599,-80.809929,101.92462,-65.636795,69.218826,-43.155396,-118.18687,-76.267021,143.40544,-62.784607,-175.88675,-65.342728,176.8455,-78.152466,-25.134834,-37.721066,-55.979454
8158750,-42.349361,-32.206398,-73.646202,61.47253,-61.407822,166.41223,-75.853432,-123.22045,-71.913216,35.154877,-35.985466,-45.383587,-66.651306,-111.56404,-77.434975,90.481911,-68.893028,-155.34523,-75.429352,141.2724,-48.437489,14.479412,-75.245377,-34.179539,-65.356392,-124.91843,-67.461151,178.00816,-70.099167,-175.31226,-43.798,-85.538467
8470000,-40.92823,-102.59549,-75.249329,-151.90526,-84.727257,33.75531,-68.768478,-145.55258,-70.073341,175.37184,-38.768936,-21.390326,-69.404892,-38.029301,-67.705353,-126.50571,-73.249489,130.18628,-64.045418,-75.751099,-40.055302,-61.059105,-71.51474,-151.39728,-70.179008,14.242,-64.032654,-14.686877,-71.350594,129.00992,-41.50956,-50.494358
8781250,-48.931995,140.90375,-61.93951,-158.40331,-66.745163,108.12018,-77.190369,-65.183151,-64.141144,-156.84265,-36.663845,-33.398281,-67.668861,-36.357159,-79.956161,-105.41439,-72.150749,171.52588,-73.700706,-51.921051,-41.561729,-125.44279,-77.21154,102.53986,-66.932922,-79.649063,-67.941582,24.119478,-63.412094,133.15437,-39.224186,-85.6166
9092500,-43.333931,20.846653,-65.280556,-45.770809,-70.292412,100.43925,-66.464714,-137.38597,-83.061241,71.229416,-43.73539,-62.611286,-66.737373,-117.20586,-73.764328,15.190527,-64.032639,-170.11929,-67.587791,159.49506,-48.426144,104.98106,-69.45929,-147.06053,-68.53241,-27.993237,-65.88826,72.951561,-66.485146,-121.34584,-44.456203,-156.09258
