!CSV A.01.01
!Keysight Technologies,P9382B,MY61100054,A.15.75.22
!Date: Monday, November 28, 2022 14:46:30
!Source: Standard

BEGIN CH3_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S13(DB),S13(DEG),S14(DB),S14(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG),S23(DB),S23(DEG),S24(DB),S24(DEG),S31(DB),S31(DEG),S32(DB),S32(DEG),S33(DB),S33(DEG),S34(DB),S34(DEG),S41(DB),S41(DEG),S42(DB),S42(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000,-43.608822,-38.004177,-66.053474,139.94075,-70.32473,79.093628,-68.926819,-130.68929,-64.344406,-68.787743,-42.043575,-114.44655,-75.958481,129.93277,-69.713074,-159.82553,-87.893188,-101.3567,-70.373169,-144.4245,-48.634644,-58.989777,-72.444221,-12.730896,-68.684456,79.67836,-75.274292,-162.84009,-71.157372,128.96651,-39.797958,-108.09705
1311250,-24.754608,-40.811317,-62.396046,77.129601,-59.848518,81.426979,-76.563126,-158.17816,-72.607948,-28.525036,-24.946791,-20.384846,-62.714573,153.27844,-71.671715,-129.24835,-72.229889,-88.825768,-68.844749,25.311413,-25.132851,-34.243969,-68.125725,-106.12649,-65.523972,-116.8691,-88.623215,-23.09939,-64.563721,151.55167,-25.014757,-36.458069
1622500,-25.714062,-80.58596,-75.693123,123.88108,-75.304855,22.031385,-69.889503,-79.512222,-68.184135,12.527352,-23.471718,-62.084015,-70.165466,-134.91692,-92.237473,-75.579842,-76.480713,155.65884,-67.743164,32.042202,-25.246929,-76.457893,-73.266151,77.563934,-69.891983,12.163783,-67.421974,59.650692,-70.621346,63.108532,-24.040392,-75.025032
1933750,-38.723526,-62.715496,-71.573257,9.9556561,-71.670914,-114.86339,-82.929268,-34.281532,-66.065865,143.29202,-32.414127,-95.472733,-77.448547,-154.04254,-74.728714,138.11601,-65.281265,-42.801163,-77.171524,-124.04388,-37.357304,-93.805405,-73.79068,97.519226,-65.407616,-116.30994,-73.427521,132.69006,-63.156982,-134.39398,-33.207653,-101.66865
2245000,-30.312023,-27.637936,-76.492729,121.85575,-77.891212,-30.756433,-67.657509,167.73503,-77.264313,-158.03032,-31.839794,-1.7127467,-63.891949,-59.070583,-67.431198,-92.501076,-68.635895,-152.48837,-73.259392,-21.206179,-31.665487,-22.430134,-68.457527,67.162567,-75.81913,-11.750916,-67.810745,144.65286,-86.24334,-110.70747,-32.532967,-20.327423
2556250,-29.479204,-76.554817,-65.469795,-84.615318,-76.489807,-62.187733,-69.120506,-122.31232,-67.22905,-21.494982,-26.718779,-50.483543,-80.45929,139.1046,-64.557922,-57.876587,-68.833595,108.85887,-71.982231,-6.7359414,-28.560812,-72.353615,-67.015594,-158.05257,-78.094398,-111.98962,-67.756882,-139.69969,-70.40287,29.818718,-27.463676,-67.231369
2867500,-39.549358,-87.959587,-68.082703,101.77754,-68.467285,165.4734,-74.880241,-99.849297,-71.924988,127.47816,-30.352371,-100.13069,-71.046791,-63.930046,-65.078949,-155.01581,-69.927361,42.24321,-89.739479,-162.76201,-35.477261,-110.11073,-82.805946,16.038908,-80.159973,-115.5755,-67.375473,172.9238,-73.465462,-93.365814,-31.067896,-108.93156
3178750,-31.987793,-31.148266,-72.38063,60.062374,-76.96093,103.05087,-67.034988,-146.62872,-67.661621,-162.51352,-43.337048,6.6181688,-69.538918,-62.666241,-74.826927,71.779602,-79.144066,15.655417,-65.123764,-63.634857,-35.45647,-24.824528,-69.115845,131.25983,-69.795418,-79.54052,-80.81868,104.2536,-63.860466,97.674263,-40.391777,-45.220825
3490000,-30.812014,-76.017937,-70.081413,83.02552,-72.986656,-136.55869,-65.359337,107.06371,-65.791168,-51.553982,-30.109112,-29.882511,-66.030823,-72.385712,-69.099442,-139.81712,-68.881699,-13.703964,-63.585808,-81.082771,-30.731955,-65.960007,-73.721786,44.206066,-80.195724,146.24434,-76.5895,-87.989365,-78.626213,45.767857,-31.490244,-59.094051
3801250,-38.666534,-117.73965,-77.409492,140.87157,-67.336411,33.205814,-66.939529,103.93333,-74.351677,-101.65247,-30.999256,-84.139366,-67.560654,-14.591392,-75.155296,3.8787117,-71.030685,-167.8593,-68.272156,-20.718681,-33.912315,-115.90659,-67.729301,-155.62439,-74.819923,169.90005,-76.5158,-73.519691,-68.995468,93.53083,-32.303215,-109.22851
