!CSV A.01.01
!Keysight Technologies,P9382B,MY61100054,A.15.75.22
!Date: Monday, November 28, 2022 14:46:23
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S13(DB),S13(DEG),S14(DB),S14(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG),S23(DB),S23(DEG),S24(DB),S24(DEG),S31(DB),S31(DEG),S32(DB),S32(DEG),S33(DB),S33(DEG),S34(DB),S34(DEG),S41(DB),S41(DEG),S42(DB),S42(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000,-41.412251,-32.596874,-73.671516,23.552076,-63.732677,-176.44951,-75.652969,13.294575,-70.076904,-75.118851,-42.494228,-110.42532,-66.278152,167.22397,-75.701164,-141.4335,-87.295952,90.365105,-71.866226,-67.683594,-50.892948,-58.463989,-69.896767,69.56739,-63.346642,-131.28564,-69.387749,39.026466,-68.987717,64.044838,-39.128082,-105.48852
1311250,-26.762463,-36.918495,-72.387344,-147.24292,-66.029701,-64.848335,-70.744415,-92.002724,-69.356171,-153.84653,-26.293245,-13.235999,-66.331734,168.99437,-74.309357,3.9970682,-63.834103,-57.020035,-65.203186,-147.77322,-27.13888,-30.357357,-71.555649,-174.16437,-70.743942,-92.367508,-74.626389,148.77774,-70.231247,-123.64319,-27.092302,-29.487778
1622500,-27.972965,-87.992149,-66.968849,145.17529,-65.901352,8.4240675,-71.248528,90.773598,-69.527901,-35.478443,-25.20356,-62.868755,-68.389122,172.39774,-65.258041,-125.98172,-69.205177,-173.11304,-82.323982,-3.3864515,-27.189997,-83.275223,-67.039162,26.898628,-64.617043,-174.28275,-68.037537,-50.809738,-68.225624,138.50589,-26.305044,-78.263153
1933750,-48.463871,-73.015434,-74.571762,-68.035713,-72.038773,-31.788746,-64.90329,45.016205,-68.386002,-71.080719,-34.588776,-107.36505,-68.79258,-153.41486,-71.30085,-171.60899,-74.124466,18.625534,-85.842697,52.15625,-41.596909,-124.89847,-75.23774,155.4758,-83.200653,37.815807,-66.838463,36.757298,-77.958664,32.179482,-35.849106,-117.94345
2245000,-30.196381,-26.918514,-67.887428,172.73645,-68.699051,177.40642,-89.158066,-4.564908,-67.23922,-72.438278,-31.682661,-2.4217451,-83.974457,-172.29581,-70.322052,-94.261284,-69.622063,2.5229077,-67.684364,170.49832,-31.541887,-22.245173,-66.560539,109.74944,-72.404816,109.87621,-73.919914,52.611012,-63.452206,166.74431,-32.25771,-19.93396
2556250,-30.07041,-77.80687,-78.331306,-73.266022,-72.551582,-87.181519,-71.041595,172.52296,-73.351692,102.0407,-27.102257,-49.837132,-66.839561,-163.00009,-69.304504,41.353355,-61.851185,-145.59013,-77.412994,119.60022,-29.233955,-73.947014,-61.335262,160.31789,-69.511963,-54.643028,-69.074997,166.03714,-69.166008,-70.603012,-27.910244,-67.419273
2867500,-42.728584,-94.27491,-62.554581,168.65498,-66.173691,-86.09034,-67.218315,60.425228,-62.599907,-17.443945,-31.228645,-102.65343,-69.601631,-177.98975,-88.081192,144.15669,-76.107773,149.19374,-67.617584,94.123474,-36.719345,-120.2352,-70.991951,38.210724,-71.710693,-157.41945,-66.16758,-31.793346,-68.697273,-94.629906,-32.073624,-114.23757
3178750,-32.413513,-24.621368,-68.991844,-177.26152,-67.185684,-31.409288,-74.623215,-39.81374,-75.83123,-72.566803,-42.694199,25.861664,-70.820381,-111.44408,-67.940987,-71.217239,-80.837425,-163.69542,-76.201828,168.55315,-36.390633,-15.966382,-74.747772,-104.34771,-68.799286,-177.65932,-73.046516,-15.064653,-78.492592,-123.25842,-44.34547,-33.042171
3490000,-30.642084,-74.456894,-71.588615,117.73067,-69.735718,-56.863598,-80.169563,-103.71098,-66.556046,-89.651337,-30.233376,-29.09301,-67.112785,-68.561623,-76.645027,-33.820423,-61.957283,178.98349,-65.527351,-79.322182,-30.715914,-65.588852,-68.609871,161.08578,-64.84996,-49.464718,-66.289696,142.36786,-68.370209,42.568218,-31.46954,-60.964085
3801250,-38.67944,-117.00787,-75.049225,-87.599846,-64.667,-145.37019,-69.438225,-71.692398,-77.984138,-25.522446,-30.926666,-84.126381,-71.618011,154.29274,-104.07996,27.409056,-68.020668,-158.31015,-82.986099,106.99038,-33.687199,-116.07707,-67.112694,47.528458,-75.034286,-129.77408,-78.139137,33.222988,-68.787514,175.29472,-32.203602,-108.65724
4112500,-36.716988,-25.330435,-71.911873,171.71109,-75.798302,152.77002,-69.080254,-174.52463,-82.646606,-54.910507,-46.095345,-150.73615,-77.143875,110.40525,-73.505936,174.43292,-65.693405,-98.684181,-66.537315,-72.905487,-48.449917,-22.647881,-68.104668,135.53654,-63.586628,-146.2149,-67.561363,39.39373,-70.631607,42.326405,-46.220112,-141.71518
4423750,-32.730663,-68.885658,-66.529701,-127.36954,-68.915092,-18.393089,-67.42662,57.288494,-68.183723,159.56926,-34.524136,-6.561594,-69.139626,55.6847,-67.235657,129.50464,-67.429733,81.347839,-63.91465,65.238541,-34.934357,-53.532997,-62.483471,-95.281204,-72.088074,-123.83428,-71.99231,-110.38673,-90.947021,-72.733727,-35.703827,-52.516121
4735000,-37.194912,-113.35164,-67.354439,17.396126,-78.326385,-0.46743649,-67.093033,-44.995045,-77.668297,117.79641,-32.660084,-66.993225,-68.944359,119.97501,-65.510941,59.720314,-72.119835,76.463181,-73.525818,-164.4142,-35.683872,-100.73071,-67.09716,179.15385,-73.230621,-42.310745,-74.048347,-18.229055,-65.054146,-39.757164,-32.747448,-104.12013
5046250,-43.826206,-35.265656,-66.457962,-24.573313,-63.506989,-65.905518,-61.700954,-144.62671,-71.644142,-96.892944,-39.212833,-148.77419,-67.394775,2.3594422,-66.336601,168.08513,-74.050552,2.5747612,-67.745453,74.248215,-48.546734,-85.796982,-66.081253,4.3376341,-61.547237,70.927406,-71.868011,152.51382,-75.121407,-104.12574,-37.801022,-166.62001
5357500,-35.43531,-70.322784,-71.998688,-178.56261,-87.986824,-135.84406,-70.347214,170.47836,-64.202148,15.631065,-37.258018,47.938591,-68.582932,105.18711,-69.369789,-27.285757,-72.333427,-42.991199,-64.205154,28.258209,-36.499184,-59.634628,-70.273613,-36.374378,-70.951172,38.737537,-68.93885,98.141075,-67.589828,-177.25522,-48.59087,0.45113528
5668750,-40.357304,-127.64065,-72.843033,-96.160904,-65.556572,7.318728,-77.909286,-138.29414,-76.984695,113.52934,-34.502201,-22.831486,-63.461544,-23.4585,-68.991211,-37.552441,-61.652218,45.530121,-70.263695,57.834949,-35.987461,-111.03019,-82.683174,-2.5830884,-74.480995,-151.03546,-75.571899,-139.81094,-66.15036,69.618866,-38.749249,-88.187431
5980000,-42.640354,18.712845,-70.076271,122.08695,-65.995644,124.63124,-67.971268,-175.25143,-83.784325,-76.471207,-43.026505,-77.824036,-73.193344,102.55246,-65.402924,60.223785,-77.404449,-71.844147,-70.102783,-130.81419,-46.050701,-169.28432,-74.661308,90.121452,-64.9114,-38.864059,-66.908524,-42.496819,-66.272453,-54.828747,-43.457775,-157.39778
6291250,-34.583744,-43.136692,-64.475639,-33.738579,-72.863838,86.353691,-80.491592,49.104176,-66.199745,-110.65945,-37.832672,53.087891,-67.761108,-8.237462,-66.559837,-140.60323,-75.163361,-99.18927,-66.146004,-98.092911,-41.968124,-45.013309,-70.746063,-20.105377,-69.332138,143.75584,-63.599384,-164.42468,-70.195923,56.810261,-42.108303,15.272224
6602500,-36.003811,-91.87027,-75.322159,-145.54036,-78.752869,-103.29139,-72.750412,-100.95918,-66.625214,102.78308,-32.545074,-3.6696579,-79.736885,-68.898087,-67.994835,-109.56579,-66.307648,147.91797,-66.993439,110.10276,-37.613335,-107.40861,-72.637093,65.173195,-64.738853,123.57175,-66.023796,157.69301,-70.854668,67.298401,-36.024536,-57.711342
