!CSV A.01.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Keysight Technologies,P9382B,MY61100054,A.15.75.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Date: Monday, November 28, 2022 14:48:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Source: Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGIN CH1_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S13(DB),S13(DEG),S14(DB),S14(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG),S23(DB),S23(DEG),S24(DB),S24(DEG),S31(DB),S31(DEG),S32(DB),S32(DEG),S33(DB),S33(DEG),S34(DB),S34(DEG),S41(DB),S41(DEG),S42(DB),S42(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000,-41.276367,-4.2299538,-63.419262,-147.17792,-63.295971,-78.633057,-71.871162,-101.93419,-72.004196,115.84539,-44.576981,-113.67933,-66.232796,164.0807,-66.875481,-135.7023,-77.89344,55.395451,-76.502754,2.5969243,-54.779221,-82.509956,-63.650219,-178.86276,-67.898697,-8.7555132,-78.805008,147.15445,-71.017166,1.9377099,-44.572742,-112.72185
1311250,-26.737267,-32.612984,-79.198792,49.298275,-69.845818,50.543941,-67.901939,-99.746101,-76.286041,-127.46913,-26.792389,-10.545666,-71.113579,125.8305,-75.433418,17.809782,-73.691063,89.817314,-66.904373,112.99062,-27.583817,-29.153467,-61.63464,14.104982,-68.649094,-80.656281,-62.098404,138.58224,-81.045586,129.0874,-27.960197,-24.8069
1622500,-28.642006,-85.194504,-66.278229,-153.60966,-63.655788,124.90981,-79.891914,-87.017677,-70.822243,43.037174,-25.925772,-63.903641,-70.011253,154.59604,-61.292664,-179.22806,-70.005768,-46.437054,-79.077713,172.18774,-27.641006,-83.174927,-65.691017,18.970161,-78.687691,-13.109763,-65.315407,-52.179695,-66.959656,-154.14206,-27.625059,-79.475723
1933750,-53.296093,-25.507626,-69.421318,-134.76602,-69.000198,-121.06812,-65.431396,142.66817,-63.338085,147.27377,-35.505493,-109.43684,-76.112366,-130.74426,-70.818703,-162.9953,-72.288528,161.01595,-79.322594,104.0311,-41.258442,-132.81555,-67.936638,57.646606,-69.159958,48.917011,-72.395454,64.066818,-67.808174,71.925636,-38.479198,-127.57944
2245000,-30.177328,-22.257881,-68.198021,-112.11181,-75.45118,-51.176189,-69.949898,-133.97458,-77.240189,109.75929,-31.890327,1.1142486,-75.418938,-34.863838,-75.887802,-1.4927911,-70.912315,177.21379,-70.659676,73.309975,-32.106205,-17.281187,-69.278175,-27.398672,-77.390778,-34.331268,-70.585526,-67.262093,-69.134804,-81.239731,-32.874653,-12.070531
2556250,-30.60663,-72.17852,-62.321121,111.6396,-69.933624,-80.787285,-70.379616,-67.011841,-73.033203,128.46268,-27.548857,-48.827206,-65.981461,-165.64526,-70.53717,160.61812,-80.373634,135.28506,-74.708199,-81.477768,-29.817081,-70.494881,-68.658073,-165.45998,-70.342392,150.70247,-75.795586,18.545151,-65.961662,-17.453524,-29.07863,-66.9235
2867500,-45.287781,-70.379875,-67.143204,-62.257797,-76.250435,-65.297874,-67.072647,18.920101,-70.643188,18.305933,-32.460346,-103.53709,-65.784294,85.551514,-72.273514,-103.99359,-77.651932,-6.066093,-66.437683,71.722557,-37.052124,-121.46185,-72.974159,-146.12891,-74.048332,162.39931,-67.069801,-173.9642,-69.313927,34.429943,-33.882164,-116.52843
3178750,-32.318626,-20.466982,-73.007896,-10.967677,-73.896942,174.29962,-65.694054,59.950661,-64.695488,96.089989,-40.531719,33.447243,-68.255066,-34.867905,-66.064362,141.14885,-72.2313,-88.866844,-74.176361,-138.93774,-37.088432,-9.5219879,-72.48214,-126.70587,-70.773956,-161.43085,-68.216331,-97.450111,-73.626266,-11.079143,-42.95182,-20.51549
3490000,-30.956226,-68.712631,-84.758881,56.563957,-59.735554,22.222071,-66.896355,-115.32978,-77.303436,-66.897003,-30.358917,-24.805883,-69.991127,-32.619736,-60.880756,161.4503,-68.687355,132.37943,-65.878998,-107.69206,-31.33362,-59.912998,-72.612587,5.1337419,-75.034035,1.8791513,-64.115532,-125.3616,-67.374466,120.75116,-32.570339,-57.157566
3801250,-40.33588,-104.05334,-78.148949,133.80505,-69.268852,-10.15674,-68.299728,12.26475,-63.361576,96.729675,-31.573217,-81.477936,-67.125885,-172.9359,-72.849342,73.185272,-69.562378,-21.963287,-75.712799,150.69942,-34.203129,-113.29741,-74.384888,140.11404,-72.258766,-38.295563,-66.818604,5.0313749,-67.108353,67.643486,-33.421246,-110.70201
