!CSV A.01.01
!Keysight Technologies,P9382B,MY61100054,A.15.75.22
!Date: Monday, November 28, 2022 15:03:55
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S13(DB),S13(DEG),S14(DB),S14(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG),S23(DB),S23(DEG),S24(DB),S24(DEG),S31(DB),S31(DEG),S32(DB),S32(DEG),S33(DB),S33(DEG),S34(DB),S34(DEG),S41(DB),S41(DEG),S42(DB),S42(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000,-43.50531,-5.857614,-70.89679,-18.674154,-67.403099,-45.478436,-70.585281,-58.651749,-71.784248,-116.99886,-44.02882,-85.314316,-66.517746,-126.73112,-72.726303,-27.450571,-64.284264,59.90921,-65.682526,35.485828,-50.896519,-48.052849,-61.807274,-128.91515,-81.601341,3.4015131,-63.914116,-147.91658,-73.489273,-46.900871,-47.511475,-109.13199
1311250,-26.525663,-35.333927,-65.348885,-108.99001,-67.590782,157.62859,-73.627594,171.07304,-68.399651,62.36702,-27.419353,-27.897676,-64.689247,-79.442589,-71.04406,-5.7713246,-76.00074,-113.91883,-66.641289,-0.32211632,-27.104895,-31.879272,-87.684128,-125.25358,-64.896248,113.06338,-87.672249,-119.67399,-59.699249,-135.76323,-26.463968,-11.841208
1622500,-27.733061,-91.901077,-71.27272,100.10645,-60.21814,135.79488,-70.479622,-147.94331,-68.733177,-110.17796,-26.836205,-81.815491,-65.430161,-14.385137,-66.497597,16.63035,-65.620438,139.42261,-74.623039,-168.46103,-26.992926,-85.870033,-79.703728,-161.04602,-63.960091,-58.261345,-67.055763,-94.139343,-74.035721,107.80858,-25.876812,-63.732224
1933750,-51.087688,-166.13283,-65.052612,135.64142,-83.775276,54.001324,-71.881271,-10.477515,-75.944786,31.822989,-37.991131,-132.22197,-64.670067,-9.596242,-68.408066,89.623352,-61.599792,11.119952,-67.649979,97.483192,-40.145134,-140.87874,-73.348167,-37.716129,-66.556038,-64.179565,-63.301495,63.000813,-72.724617,-142.35582,-36.255322,-110.97694
2245000,-30.173918,-26.465973,-75.795441,96.849884,-75.481178,150.70146,-74.875389,-152.36169,-66.225769,-101.28485,-33.137871,-14.661243,-75.843826,-97.999176,-68.197601,23.0804,-67.690956,-100.07555,-61.45388,32.310871,-32.135433,-18.82794,-67.200195,-109.56186,-68.355537,173.37756,-62.052422,-11.368773,-70.488777,-80.207771,-31.866755,6.4297609
2556250,-29.370213,-82.963608,-69.677979,-125.67424,-75.774536,-114.10022,-71.422958,144.11891,-74.847107,-113.69548,-29.184305,-64.682014,-84.146255,161.30722,-75.342819,-35.974754,-69.06208,-113.96775,-66.342728,-88.28746,-29.347677,-74.404144,-64.173416,-122.36897,-63.216343,112.76606,-66.946144,130.8313,-64.684044,-166.09845,-28.036552,-43.512268
2867500,-40.945206,-140.21404,-74.71244,-136.49733,-67.223511,70.705276,-69.309845,-140.22966,-67.015846,109.58555,-34.997131,-110.87659,-73.11422,37.861626,-78.755943,-90.520409,-83.727913,141.0583,-80.105446,-65.191467,-35.885521,-129.77069,-69.255875,-91.487564,-61.55851,-170.5578,-73.042984,113.9618,-63.969601,-87.365494,-33.876141,-86.785416
3178750,-34.010086,-17.173899,-73.989784,104.76642,-70.751228,-56.720646,-64.343864,162.07576,-68.390167,-85.501373,-38.671703,-19.33551,-63.603634,5.3161211,-67.184509,-74.320358,-66.464188,-69.963646,-63.42062,-139.64864,-37.591503,-6.4722815,-66.918037,135.01938,-68.515167,-129.42644,-66.002846,-54.581909,-63.835835,111.38235,-35.986656,10.130672
3490000,-31.253304,-72.116776,-64.246758,-154.41772,-65.484993,-48.509335,-73.646423,-146.85208,-78.974365,-52.770088,-31.343819,-56.248131,-87.630806,-145.17763,-77.624191,177.54947,-76.175491,-38.136612,-63.694317,-9.5554676,-31.362671,-59.160416,-82.28196,68.047035,-78.496765,121.35667,-70.821724,166.07291,-64.981102,79.812431,-29.16032,-29.193594
3801250,-39.248806,-120.18568,-70.457344,-39.802299,-70.620155,120.41656,-73.343391,-69.795494,-65.743752,88.858498,-33.397511,-103.46344,-68.959488,36.735695,-62.028053,132.97182,-77.594864,-30.106285,-79.538834,-85.105652,-34.68911,-106.80336,-70.902313,-69.296043,-76.731659,61.70462,-68.955849,143.26807,-68.028549,4.1248527,-31.330862,-75.035439
4112500,-36.905518,-21.158546,-72.432587,65.134552,-73.777336,-141.04697,-65.246269,-51.984493,-69.43927,17.086445,-45.584049,-51.348274,-76.430786,-39.740112,-72.139145,-78.269836,-66.8367,87.061256,-73.475433,48.46756,-41.912624,-33.913704,-71.507988,-32.982479,-66.666405,86.883385,-65.885857,-34.967499,-72.64872,90.053764,-44.366959,-23.570465
4423750,-32.175838,-71.150169,-67.512611,-89.291473,-63.669838,89.029037,-65.828178,61.011124,-67.313995,-143.89522,-33.546398,-49.532162,-68.548088,39.901154,-66.154915,84.696396,-68.100166,143.47966,-69.307526,90.129341,-32.320908,-60.642784,-64.669975,10.781972,-73.342682,74.262497,-72.482826,108.79099,-80.176125,-40.454437,-31.368851,-19.612705
4735000,-36.885181,-117.71642,-66.837112,-138.6386,-69.515694,-15.772171,-71.236237,7.0188046,-64.68116,19.53278,-33.671951,-95.357864,-70.881104,-171.0844,-67.227203,-74.09594,-70.713547,172.67099,-65.059898,-76.516495,-32.713528,-104.91722,-68.862541,62.386669,-77.959587,96.007965,-76.314995,-79.339546,-75.140823,37.477764,-31.516264,-61.09079
